id,item,type,cond,region1_rrt,region2_rrt,region3_rrt,region4_rrt
38,16,Object-Topicalized,tor,258.0,582.0,654.0,437.0
38,4,Object-Topicalized,tor,543.0,551.0,326.0,460.0
38,20,Object-Subject-Inversion,orsi,320.0,577.0,295.0,251.0
38,7,Object-Topicalized,tor,326.0,606.0,397.0,531.0
38,5,Object-Subject-Inversion,orsi,490.0,543.0,295.0,2137.0
38,12,Subject,sr,282.0,598.0,321.0,740.0
38,19,Object-Topicalized,tor,256.0,756.0,257.0,245.0
38,1,Object-Topicalized,tor,399.0,535.0,670.0,574.0
38,8,Object-Subject-Inversion,orsi,297.0,728.0,283.0,500.0
39,18,Subject,sr,460.0,853.0,1889.0,460.0
39,19,Object-Topicalized,tor,424.0,1559.0,460.0,1834.0
39,20,Object-Subject-Inversion,orsi,316.0,798.0,2745.0,677.0
39,5,Object-Subject-Inversion,orsi,298.0,759.0,2207.0,530.0
39,10,Object-Topicalized,tor,284.0,689.0,3941.0,354.0
39,14,Object-Subject-Inversion,orsi,472.0,1136.0,2822.0,1052.0
39,9,Subject,sr,400.0,829.0,319.0,1410.0
39,12,Subject,sr,816.0,1041.0,429.0,459.0
39,11,Object-Subject-Inversion,orsi,528.0,770.0,1082.0,363.0
39,2,Object-Subject-Inversion,orsi,414.0,940.0,3870.0,389.0
39,16,Object-Topicalized,tor,284.0,605.0,1759.0,3134.0
39,6,Subject,sr,295.0,680.0,2157.0,653.0
39,1,Object-Topicalized,tor,442.0,2429.0,1518.0,950.0
39,8,Object-Subject-Inversion,orsi,366.0,1114.0,2477.0,968.0
39,3,Subject,sr,319.0,1203.0,596.0,425.0
39,15,Subject,sr,327.0,1231.0,710.0,394.0
39,13,Object-Topicalized,tor,466.0,824.0,8762.0,717.0
39,7,Object-Topicalized,tor,289.0,745.0,5078.0,260.0
39,4,Object-Topicalized,tor,327.0,902.0,3089.0,740.0
39,17,Object-Subject-Inversion,orsi,325.0,782.0,3184.0,355.0
40,6,Subject,sr,257.0,530.0,1620.0,529.0
40,20,Object-Subject-Inversion,orsi,460.0,653.0,1306.0,407.0
40,16,Object-Topicalized,tor,355.0,519.0,456.0,877.0
40,3,Subject,sr,319.0,725.0,295.0,348.0
40,1,Object-Topicalized,tor,223.0,449.0,250.0,1019.0
40,17,Object-Subject-Inversion,orsi,470.0,1061.0,600.0,3144.0
40,5,Object-Subject-Inversion,orsi,433.0,790.0,365.0,1098.0
40,12,Subject,sr,389.0,685.0,289.0,914.0
40,13,Object-Topicalized,tor,425.0,717.0,1441.0,331.0
40,15,Subject,sr,262.0,776.0,1619.0,385.0
40,10,Object-Topicalized,tor,399.0,544.0,841.0,2984.0
40,4,Object-Topicalized,tor,368.0,554.0,2016.0,355.0
40,14,Object-Subject-Inversion,orsi,611.0,606.0,669.0,363.0
40,7,Object-Topicalized,tor,321.0,1129.0,2970.0,394.0
