item,condition,position,word,rt,surprisal,length,log_freq,length_lag1,log_freq_lag1,surprisal_lag1,length_lag2,log_freq_lag2,surprisal_lag2
13,tor,6,empresario,526.0769230769231,5.739384,10,-10.752119635936468,2.0,-3.568433301038069,3.639182,3.0,-3.40822199659912,2.60341
13,tor,7,protege,1118.128205128205,11.995099,7,-11.355921716160564,10.0,-10.752119635936468,5.739384,2.0,-3.568433301038069,3.639182
13,tor,8,conduce,1010.025641025641,11.998373,7,-11.055500617931353,7.0,-11.355921716160564,11.995099,10.0,-10.752119635936468,5.739384
13,tor,9,un,510.56410256410254,1.688961,2,-4.448166437178426,7.0,-11.055500617931353,11.998373,7.0,-11.355921716160564,11.995099
13,tor,10,deportivo,467.35897435897436,5.649905,9,-10.637456727616328,2.0,-4.448166437178426,1.688961,7.0,-11.055500617931353,11.998373
13,tor,11,rojo.,888.8717948717949,3.080379,5,-9.57850969534065,9.0,-10.637456727616328,5.649905,2.0,-4.448166437178426,1.688961
14,orsi,1,El,374.6190476190476,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
14,orsi,2,fiscal,551.4285714285714,11.426208,6,-9.533304258572603,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
14,orsi,3,al,404.0952380952381,6.447564,2,-5.2030071867437115,6.0,-9.533304258572603,11.426208,2.0,-3.568433301038069,8.230895
14,orsi,4,que,391.14285714285717,4.777991,3,-3.40822199659912,2.0,-5.2030071867437115,6.447564,6.0,-9.533304258572603,11.426208
14,orsi,5,investiga,505.76190476190476,6.74991,9,-11.766528223769146,3.0,-3.40822199659912,4.777991,2.0,-5.2030071867437115,6.447564
14,orsi,6,el,428.6190476190476,1.419635,2,-3.568433301038069,9.0,-11.766528223769146,6.74991,3.0,-3.40822199659912,4.777991
14,orsi,7,reportero,1269.1904761904761,11.858205,9,-12.157282481360742,2.0,-3.568433301038069,1.419635,9.0,-11.766528223769146,6.74991
14,orsi,8,ejerció,670.952380952381,11.117543,7,-12.501786889679218,9.0,-12.157282481360742,11.858205,2.0,-3.568433301038069,1.419635
